Calculating the offsets...
timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1487802250.332195, 1487802250.332195, -1.074829, -0.184631, -0.329773, -0.098753, +1.745353, +1.874383 
1487802250.336333, 1487802250.336333, -1.073730, -0.181824, -0.328491, +0.005923, +1.707969, +1.874383 
1487802250.341435, 1487802250.341435, -1.073730, -0.181824, -0.328491, +0.005923, +1.707969, +1.874383 
1487802250.345175, 1487802250.345175, -1.073730, -0.181824, -0.328491, +0.200320, +1.797691, +2.143548 
1487802250.348984, 1487802250.348984, -1.073730, -0.181824, -0.328491, +0.200320, +1.797691, +2.143548 
1487802250.352727, 1487802250.352727, -1.073730, -0.181824, -0.328491, +0.200320, +1.797691, +2.143548 
1487802250.356461, 1487802250.356461, -1.072266, -0.177612, -0.327576, +0.095644, +1.894889, +2.233270 
1487802250.360202, 1487802250.360202, -1.072266, -0.177612, -0.327576, +0.095644, +1.894889, +2.233270 
1487802250.363945, 1487802250.363945, -1.072266, -0.177612, -0.327576, +0.095644, +1.894889, +2.233270 
1487802250.367725, 1487802250.367725, -1.072266, -0.177612, -0.327576, +0.118075, +1.850028, +2.375329 
1487802250.371464, 1487802250.371464, -1.072266, -0.177612, -0.327576, +0.118075, +1.850028, +2.375329 
1487802250.375199, 1487802250.375199, -1.079041, -0.181702, -0.331421, +0.118075, +1.850028, +2.375329 
1487802250.378981, 1487802250.378981, -1.079041, -0.181702, -0.331421, -0.023985, +1.857505, +2.547296 
1487802250.382724, 1487802250.382724, -1.079041, -0.181702, -0.331421, -0.023985, +1.857505, +2.547296 
1487802250.386456, 1487802250.386456, -1.079041, -0.181702, -0.331421, -0.023985, +1.857505, +2.547296 
1487802250.390291, 1487802250.390291, -1.079041, -0.181702, -0.331421, -0.143614, +1.850028, +2.637018 
1487802250.394030, 1487802250.394030, -1.079041, -0.177307, -0.331177, -0.143614, +1.850028, +2.637018 
1487802250.397845, 1487802250.397845, -1.072083, -0.177307, -0.331177, -0.143614, +1.850028, +2.569726 
1487802250.401589, 1487802250.401589, -1.072083, -0.177307, -0.331177, -0.061369, +1.962180, +2.569726 
1487802250.405325, 1487802250.405325, -1.072083, -0.177307, -0.331177, -0.061369, +1.962180, +2.569726 
1487802250.409068, 1487802250.409068, -1.072083, -0.177307, -0.331177, -0.061369, +2.291160, +2.816461 
1487802250.412809, 1487802250.412809, -1.072083, -0.177307, -0.331177, +0.349856, +2.291160, +2.816461 
1487802250.416542, 1487802250.416542, -1.078552, -0.171936, -0.332764, +0.349856, +2.291160, +2.816461 
1487802250.420318, 1487802250.420318, -1.078552, -0.171936, -0.332764, +0.731173, +2.246299, +2.651971 
1487802250.424064, 1487802250.424064, -1.078552, -0.171936, -0.332764, +0.731173, +2.246299, +2.651971 
1487802250.428119, 1487802250.428119, -1.078552, -0.171936, -0.332764, +0.731173, +2.246299, +2.651971 
1487802250.432023, 1487802250.432023, -1.078552, -0.171936, -0.332764, +0.985384, +2.201438, +2.816461 
1487802250.436696, 1487802250.436696, -1.075745, -0.168823, -0.329956, +0.985384, +2.201438, +2.816461 
1487802250.440504, 1487802250.440504, -1.075745, -0.168823, -0.329956, +0.985384, +2.201438, +2.816461 
1487802250.444247, 1487802250.444247, -1.075745, -0.168823, -0.329956, +1.224642, +2.179008, +2.764123 
1487802250.448024, 1487802250.448024, -1.075745, -0.168823, -0.329956, +1.224642, +2.179008, +2.764123 
1487802250.451761, 1487802250.451761, -1.075745, -0.168823, -0.329956, +1.224642, +2.179008, +2.764123 
1487802250.455499, 1487802250.455499, -1.078796, -0.168213, -0.335571, +1.433993, +2.201438, +2.786554 
1487802250.459247, 1487802250.459247, -1.078796, -0.168213, -0.335571, +1.433993, +2.201438, +2.786554 
1487802250.462982, 1487802250.462982, -1.078796, -0.168213, -0.335571, +1.433993, +2.201438, +2.577203 
1487802250.466721, 1487802250.466721, -1.078796, -0.168213, -0.335571, +1.366701, +1.842552, +2.577203 
1487802250.470504, 1487802250.470504, -1.078796, -0.168213, -0.335571, +1.366701, +1.842552, +2.577203 
1487802250.474241, 1487802250.474241, -1.076294, -0.165955, -0.337830, +1.366701, +1.842552, +2.420190 
